ID,e_BP,ra_pmdec_corr,e_RP,pmRA,e_G,e_Y,DEJ2000,Y,RAJ2000,g_sdss,parallax_pmdec_corr,i_sdss,e_r_sdss,e_Ks,H,pmra_pmdec_corr,e_RAJ2000,e_pmDec,parallax_pmra_corr,e_i_sdss,z_sdss,e_z_sdss,dec_parallax_corr,parallax,Ks,e_g_sdss,u_sdss,e_H,dec_pmdec_corr,e_u_sdss,e_DEJ2000,pmDec,e_J,parallax_error,dec_pmra_corr,e_pmRA,ra_parallax_corr,RP,G,ra_pmra_corr,r_sdss,J,BP,probability
2722833,0.0508393533527851,-0.138799995183945,0.0501223504543304,-1.383,0.0500099994242191,0.05,-17.2657663337,15.0240001678467,289.007101152,17.9290008544922,0.178399994969368,15.6999998092651,0.05,0.05,13.1099996566772,0.185100004076958,1.72370004653931,0.0939999967813492,-0.346700012683868,0.05,15.253999710083,0.05,-0.509800016880035,3.404,12.8590002059937,0.05,20.6800003051758,0.0546259991824627,-0.297100007534027,0.119000002741814,1.4592000246048,-26.781,0.0560000017285347,0.0719999969005585,0.0688999965786934,0.111000001430511,0.00120000005699694,15.2067003250122,16.2721996307373,-0.278299987316132,16.6060009002686,13.7589998245239,17.4274005889893,0.997954256724285
2735417,99,,99,-1.88655902600288,99,0.05,-17.3878993484898,20.5359992980957,288.757652005165,25.761999130249,,22.2649993896484,0.150000005960464,0.200000002980232,99,,1.46369347930886e-06,2.18378710746765,,0.05,20.8899993896484,0.05,,,17.7329998016357,0.206000000238419,99,99,,99,1.46369347930886e-06,-30.5980786132812,0.0920000001788139,,,2.18378806114197,,99,99,,24.4950008392334,18.9389991760254,99,0.940180058279025
2826587,0.0500728487968445,-0.384200006723404,0.0500143989920616,-1.542,0.0500035993754864,0.0509999990463257,-16.1610723547,13.2880001068115,289.983828452,14.7119998931885,-0.38740000128746,13.7189998626709,0.0509999990463257,0.05,11.6899995803833,-0.23649999499321,1.24689996242523,0.0599999986588955,0.201900005340576,0.0529999993741512,13.4169998168945,0.0500000007450581,-0.361200004816055,3.2636,11.6789999008179,0.0500000007450581,16.9109992980957,0.0546259991824627,-0.104500003159046,0.112000003457069,0.926999986171722,-26.951,0.0549999997019768,0.0414999984204769,-0.422199994325638,0.0799999982118607,0.0665000006556511,13.1511001586914,13.8880996704102,-0.178200006484985,13.8680000305176,12.21399974823,14.4928998947144,0.998428183299188
3345387,0.0520047098398209,-0.28099998831749,0.0503352768719196,-0.955,0.0500224940478802,0.05,-16.9683117295,16.068000793457,288.555415905,19.511999130249,0.229100003838539,16.9270000457764,0.05,0.05,14.1319999694824,0.184900000691414,3.61310005187988,0.195999994874001,-0.485199987888336,0.05,16.4029998779297,0.05,-0.622099995613098,3.4981,13.8559999465942,0.05,22.5699996948242,0.0750733017921448,-0.429899990558624,0.129999995231628,3.04089999198914,-26.147,0.05,0.179499998688698,0.0966000035405159,0.232999995350838,0.0615000016987324,16.4237995147705,17.6147994995117,-0.283499985933304,18.2399997711182,14.7309999465942,19.0137004852295,0.986255711550764
3444418,0.0500080995261669,-0.300599992275238,0.0500224940478802,-1.19,0.0500025004148483,0.208000004291534,-16.1309864232,11.8269996643066,289.139349743,12.3039999008179,0.254299998283386,11.3030004501343,0.0790000036358833,0.0549999997019768,9.04699993133545,0.089199997484684,2.30629992485046,0.119999997317791,-0.556100010871887,0.05,11.0249996185303,0.05,-0.620500028133392,2.1748,8.95199966430664,0.12899999320507,12.0640001296997,0.0550363510847092,-0.337099999189377,0.100000001490116,1.85570001602173,-26.357,0.0549999997019768,0.119800001382828,0.195099994540215,0.149000003933907,-0.340299993753433,9.85429954528809,10.3243999481201,0.0728999972343445,13.2589998245239,9.31599998474121,10.6628999710083,0.999979592630538
3452796,0.148001655936241,-0.115900002419949,0.0527788773179054,0.435,0.050202090293169,0.05,-17.2703961496,17.0779991149902,290.217330165,20.988000869751,0.319099992513657,18.3349990844727,0.0839999988675117,0.05,15.1180000305176,0.57260000705719,10.6579999923706,0.741999983787537,-0.0653000026941299,0.05,17.5200004577637,0.0509999990463257,-0.261799991130829,2.5497,14.7810001373291,0.122000001370907,99,0.0951892882585526,-0.0240000002086163,99,11.5104999542236,-28.178,0.05,0.366600006818771,-0.0381999984383583,0.686999976634979,-0.0542999990284443,17.6679000854492,18.9904003143311,0.0100999996066093,19.8409996032715,15.710000038147,20.4813003540039,0.661532835189068
3513313,0.0500483773648739,-0.406199991703033,0.0500120967626572,-2.267,0.0500025004148483,0.05,-16.0049308861,12.5939998626709,289.073221665,13.7510004043579,0.217999994754791,12.6809997558594,0.0500000007450581,0.0529999993741512,11.0659999847412,0.136500000953674,2.19959998130798,0.114000000059605,-0.52130001783371,0.0500000007450581,12.7360000610352,0.0500000007450581,-0.111800000071526,3.9314,10.9399995803833,0.05,15.585000038147,0.0546259991824627,-0.267500013113022,0.1,1.76180005073547,-28.932,0.0549999997019768,0.0910999998450279,-0.275299996137619,0.142000004649162,-0.158999994397163,12.4098997116089,13.0799999237061,-0.0187999997287989,13.1169996261597,11.5150003433228,13.609299659729,0.880848901522611
3513557,0.0500360876321793,-0.387899994850159,0.0500099994242191,-0.635,0.05000039935112,0.0500000007450581,-16.097698599,11.5480003356934,288.750542854,12.3339996337891,0.0904000028967857,11.7019996643066,0.0500000007450581,0.0540000014007092,10.2360000610352,0.3158999979496,1.21039998531342,0.0670000016689301,-0.482499986886978,0.0500000007450581,11.6389999389648,0.0500000007450581,-0.258799999952316,3.2347,10.1560001373291,0.0500000007450581,14.1899995803833,0.055461697280407,-0.458999991416931,0.1,1.04470002651215,-27.068,0.0549999997019768,0.049600001424551,-0.197899997234344,0.0780000016093254,-0.0375000014901161,11.2093000411987,11.7320995330811,-0.291700005531311,11.7679996490479,10.5600004196167,12.1028995513916,0.999728532371776
3513660,0.050193227827549,-0.266099989414215,0.0500483773648739,-1.045,0.0500143989920616,0.0500000007450581,-16.1252804806,11.8959999084473,289.16897021,12.5010004043579,0.0930999964475632,11.9130001068115,0.0500000007450581,0.0549999997019768,10.5710000991821,0.155499994754791,1.03279995918274,0.0590000003576279,-0.255400002002716,0.0500000007450581,11.9379997253418,0.0500000007450581,-0.402599990367889,3.2614,10.4840002059937,0.0500000007450581,13.8319997787476,0.0559016987681389,-0.341300010681152,0.1,0.908399999141693,-26.574,0.0549999997019768,0.0399000011384487,-0.149900004267693,0.0670000016689301,0.153899997472763,11.5188999176025,12.06369972229,-0.249200001358986,12.0459995269775,10.8489999771118,12.4548997879028,0.999890257591591
3513664,0.0502111539244652,-0.306400001049042,0.0501760914921761,-0.561,0.0500783398747444,0.0500000007450581,-16.1195303194,10.6529998779297,289.058948925,11.2659997940063,0.149700000882149,10.71399974823,0.0500000007450581,0.0549999997019768,9.4350004196167,0.250400006771088,1.56389999389648,0.0890000015497208,-0.403499990701675,0.0500000007450581,10.7829999923706,0.0500000007450581,-0.318500012159348,3.1793,9.34000015258789,0.0500000007450581,13.6719999313354,0.0563560128211975,-0.420700013637543,0.1,1.38619995117188,-26.637,0.0549999997019768,0.0615000016987324,-0.142599999904633,0.101000003516674,0.0044999998062849,10.3183002471924,10.8971996307373,-0.262100011110306,10.8380002975464,9.72999954223633,11.2011003494263,0.999318929176986
